"X1" "X2" "X3" "X4" "X5" "X6" "X7"
1810 1991 0 0 0 0 1
1810 1992 1 0 0 1 0
1810 1993 0 1 0 1 0
1810 1994 0 0 1 0 0
1811 1991 0 0 0 0 1
1814 1991 0 0 0 0 1
1818 1991 0 0 0 0 1
1818 1992 1 0 0 1 0
1818 1993 0 1 0 1 0
1818 1994 0 0 1 0 0
1820 1992 1 0 0 1 0
1820 1993 0 1 0 1 0
1820 1994 0 0 1 0 0
1822 1991 0 0 0 0 1
1830 1991 0 0 0 0 1
1831 1992 1 0 0 1 0
1831 1993 0 1 0 1 0
1831 1994 0 0 1 0 0
1832 1991 0 0 0 0 1
1836 1991 0 0 0 0 1
1837 1991 0 0 0 0 1
1840 1991 0 0 0 0 1
1841 1992 1 0 0 1 0
1841 1993 0 1 0 1 0
1841 1994 0 0 1 0 0
1842 1991 0 0 0 0 1
1847 1991 0 0 0 0 1
1847 1992 1 0 0 1 0
1847 1993 0 1 0 1 0
1847 1994 0 0 1 0 0
1860 1991 0 0 0 0 1
1860 1992 1 0 0 1 0
1860 1993 0 1 0 1 0
1860 1994 0 0 1 0 0
1862 1991 0 0 0 0 1
1863 1991 0 0 0 0 1
1871 1992 1 0 0 1 0
1871 1993 0 1 0 1 0
1871 1994 0 0 1 0 0
1873 1991 0 0 0 0 1
1873 1992 1 0 0 1 0
1873 1993 0 1 0 1 0
1873 1994 0 0 1 0 0
1874 1991 0 0 0 0 1
1875 1991 0 0 0 0 1
1880 1991 0 0 0 0 1
1892 1991 0 0 0 0 1
1892 1992 1 0 0 1 0
1892 1993 0 1 0 1 0
1892 1994 0 0 1 0 0
1899 1991 0 0 0 0 1
1900 1991 0 0 0 0 1
1900 1992 1 0 0 1 0
1900 1993 0 1 0 1 0
1900 1994 0 0 1 0 0
1902 1991 0 0 0 0 1
1907 1991 0 0 0 0 1
1907 1992 1 0 0 1 0
1907 1993 0 1 0 1 0
1907 1994 0 0 1 0 0
1909 1991 0 0 0 0 1
1911 1992 1 0 0 1 0
1911 1993 0 1 0 1 0
1911 1994 0 0 1 0 0
1917 1991 0 0 0 0 1
1917 1992 1 0 0 1 0
1917 1993 0 1 0 1 0
1917 1994 0 0 1 0 0
1926 1991 0 0 0 0 1
1926 1992 1 0 0 1 0
1926 1993 0 1 0 1 0
1926 1994 0 0 1 0 0
1927 1991 0 0 0 0 1
1929 1991 0 0 0 0 1
1929 1992 1 0 0 1 0
1929 1993 0 1 0 1 0
1929 1994 0 0 1 0 0
1932 1991 0 0 0 0 1
1940 1991 0 0 0 0 1
1940 1992 1 0 0 1 0
1940 1993 0 1 0 1 0
1940 1994 0 0 1 0 0
1947 1991 0 0 0 0 1
1952 1991 0 0 0 0 1
1954 1991 0 0 0 0 1
1957 1991 0 0 0 0 1
1958 1991 0 0 0 0 1
1959 1993 0 1 0 1 0
1959 1994 0 0 1 0 0
1961 1991 0 0 0 0 1
1963 1991 0 0 0 0 1
1963 1992 1 0 0 1 0
1963 1993 0 1 0 1 0
1963 1994 0 0 1 0 0
1964 1991 0 0 0 0 1
1964 1992 1 0 0 1 0
1964 1993 0 1 0 1 0
1964 1994 0 0 1 0 0
1967 1991 0 0 0 0 1
1971 1991 0 0 0 0 1
1974 1991 0 0 0 0 1
1975 1991 0 0 0 0 1
1975 1992 1 0 0 1 0
1975 1993 0 1 0 1 0
1975 1994 0 0 1 0 0
1978 1991 0 0 0 0 1
1981 1991 0 0 0 0 1
1982 1991 0 0 0 0 1
1983 1991 0 0 0 0 1
1983 1992 1 0 0 1 0
1983 1993 0 1 0 1 0
1983 1994 0 0 1 0 0
1984 1991 0 0 0 0 1
1990 1991 0 0 0 0 1
1990 1992 1 0 0 1 0
1990 1993 0 1 0 1 0
1990 1994 0 0 1 0 0
1992 1991 0 0 0 0 1
1998 1991 0 0 0 0 1
1999 1991 0 0 0 0 1
1999 1992 1 0 0 1 0
1999 1993 0 1 0 1 0
1999 1994 0 0 1 0 0
2002 1991 0 0 0 0 1
2011 1991 0 0 0 0 1
2011 1992 1 0 0 1 0
2011 1993 0 1 0 1 0
2011 1994 0 0 1 0 0
2019 1992 1 0 0 1 0
2019 1993 0 1 0 1 0
2019 1994 0 0 1 0 0
2021 1991 0 0 0 0 1
2024 1992 1 0 0 1 0
2024 1993 0 1 0 1 0
2024 1994 0 0 1 0 0
2029 1991 0 0 0 0 1
2032 1991 0 0 0 0 1
2033 1991 0 0 0 0 1
2036 1990 0 0 0 0 1
2039 1991 0 0 0 0 1
2040 1991 0 0 0 0 1
2040 1992 1 0 0 1 0
2040 1993 0 1 0 1 0
2040 1994 0 0 1 0 0
2043 1992 1 0 0 1 0
2043 1993 0 1 0 1 0
2043 1994 0 0 1 0 0
2044 1991 0 0 0 0 1
2049 1991 0 0 0 0 1
2049 1992 1 0 0 1 0
2049 1993 0 1 0 1 0
2049 1994 0 0 1 0 0
2050 1992 1 0 0 1 0
2050 1993 0 1 0 1 0
2050 1994 0 0 1 0 0
2051 1991 0 0 0 0 1
2053 1991 0 0 0 0 1
2055 1991 0 0 0 0 1
2056 1991 0 0 0 0 1
2059 1991 0 0 0 0 1
2060 1990 0 0 0 0 1
2062 1991 0 0 0 0 1
2062 1992 1 0 0 1 0
2062 1993 0 1 0 1 0
2062 1994 0 0 1 0 0
2063 1990 0 0 0 0 1
2064 1991 0 0 0 0 1
2067 1991 0 0 0 0 1
2069 1991 0 0 0 0 1
2069 1992 1 0 0 1 0
2069 1993 0 1 0 1 0
2069 1994 0 0 1 0 0
2072 1991 0 0 0 0 1
2072 1992 1 0 0 1 0
2072 1993 0 1 0 1 0
2072 1994 0 0 1 0 0
2079 1992 1 0 0 1 0
2079 1993 0 1 0 1 0
2079 1994 0 0 1 0 0
2083 1991 0 0 0 0 1
2084 1991 0 0 0 0 1
2085 1992 1 0 0 1 0
2085 1993 0 1 0 1 0
2085 1994 0 0 1 0 0
2087 1991 0 0 0 0 1
2091 1991 0 0 0 0 1
2091 1992 1 0 0 1 0
2091 1993 0 1 0 1 0
2091 1994 0 0 1 0 0
2093 1991 0 0 0 0 1
2098 1991 0 0 0 0 1
2098 1992 1 0 0 1 0
2098 1993 0 1 0 1 0
2098 1994 0 0 1 0 0
2107 1991 0 0 0 0 1
2107 1992 1 0 0 1 0
2107 1993 0 1 0 1 0
2107 1994 0 0 1 0 0
2111 1991 0 0 0 0 1
2112 1990 0 0 0 0 1
2115 1992 1 0 0 1 0
2115 1993 0 1 0 1 0
2115 1994 0 0 1 0 0
2125 1991 0 0 0 0 1
2125 1992 1 0 0 1 0
2125 1993 0 1 0 1 0
2125 1994 0 0 1 0 0
2126 1991 0 0 0 0 1
2128 1991 0 0 0 0 1
2129 1991 0 0 0 0 1
2130 1991 0 0 0 0 1
2133 1991 0 0 0 0 1
2133 1992 1 0 0 1 0
2133 1993 0 1 0 1 0
2133 1994 0 0 1 0 0
2138 1991 0 0 0 0 1
2139 1991 0 0 0 0 1
2139 1992 1 0 0 1 0
2139 1993 0 1 0 1 0
2139 1994 0 0 1 0 0
2147 1990 0 0 0 0 1
2147 1992 1 0 0 1 0
2147 1993 0 1 0 1 0
2147 1994 0 0 1 0 0
2150 1991 0 0 0 0 1
2150 1992 1 0 0 1 0
2150 1993 0 1 0 1 0
2150 1994 0 0 1 0 0
2159 1991 0 0 0 0 1
2159 1992 1 0 0 1 0
2159 1993 0 1 0 1 0
2159 1994 0 0 1 0 0
2167 1991 0 0 0 0 1
2167 1992 1 0 0 1 0
2167 1993 0 1 0 1 0
2167 1994 0 0 1 0 0
2185 1991 0 0 0 0 1
2247 1991 0 0 0 0 1
2271 1990 0 0 0 0 1
2452 1991 0 0 0 0 1
2491 1991 0 0 0 0 1
2560 1990 0 0 0 0 1
2561 1990 0 0 0 0 1
2594 1991 0 0 0 0 1
2601 1990 0 0 0 0 1
2610 1990 0 0 0 0 1
2627 1990 0 0 0 0 1
2633 1991 0 0 0 0 1
2665 1991 0 0 0 0 1
2700 1990 0 0 0 0 1
2836 1990 0 0 0 0 1
2879 1991 0 0 0 0 1
2894 1991 0 0 0 0 1
2934 1990 0 0 0 0 1
2971 1991 0 0 0 0 1
3041 1990 0 0 0 0 1
3134 1990 0 0 0 0 1
3156 1991 0 0 0 0 1
3211 1990 0 0 0 0 1
3317 1991 0 0 0 0 1
3340 1991 0 0 0 0 1
3352 1990 0 0 0 0 1
3502 1990 0 0 0 0 1
3631 1990 0 0 0 0 1
3745 1991 0 0 0 0 1
3770 1990 0 0 0 0 1
3863 1991 0 0 0 0 1
3880 1991 0 0 0 0 1
3883 1991 0 0 0 0 1
3930 1991 0 0 0 0 1
3941 1991 0 0 0 0 1
3962 1991 0 0 0 0 1
4135 1990 0 0 0 0 1
4159 1991 0 0 0 0 1
4168 1990 0 0 0 0 1
4179 1990 0 0 0 0 1
4303 1990 0 0 0 0 1
4445 1991 0 0 0 0 1
4508 1990 0 0 0 0 1
4553 1991 0 0 0 0 1
4636 1990 0 0 0 0 1
4651 1991 0 0 0 0 1
4652 1991 0 0 0 0 1
4654 1991 0 0 0 0 1
4660 1991 0 0 0 0 1
4671 1991 0 0 0 0 1
4689 1991 0 0 0 0 1
4705 1991 0 0 0 0 1
4709 1991 0 0 0 0 1
4711 1991 0 0 0 0 1
4717 1991 0 0 0 0 1
4731 1991 0 0 0 0 1
4747 1991 0 0 0 0 1
4752 1991 0 0 0 0 1
4774 1991 0 0 0 0 1
4807 1991 0 0 0 0 1
4866 1990 0 0 0 0 1
4918 1991 0 0 0 0 1
4923 1991 0 0 0 0 1
4935 1991 0 0 0 0 1
4936 1990 0 0 0 0 1
4954 1991 0 0 0 0 1
4955 1991 0 0 0 0 1
5001 1991 0 0 0 0 1
5054 1991 0 0 0 0 1
5092 1991 0 0 0 0 1
5122 1991 0 0 0 0 1
5217 1991 0 0 0 0 1
5237 1991 0 0 0 0 1
5241 1991 0 0 0 0 1
5247 1991 0 0 0 0 1
5277 1991 0 0 0 0 1
5410 1990 0 0 0 0 1
5459 1991 0 0 0 0 1
5469 1990 0 0 0 0 1
5479 1991 0 0 0 0 1
5487 1991 0 0 0 0 1
5494 1991 0 0 0 0 1
5503 1991 0 0 0 0 1
5511 1991 0 0 0 0 1
5512 1991 0 0 0 0 1
5550 1991 0 0 0 0 1
5552 1991 0 0 0 0 1
5557 1991 0 0 0 0 1
5562 1990 0 0 0 0 1
5583 1991 0 0 0 0 1
5587 1991 0 0 0 0 1
5601 1990 0 0 0 0 1
5610 1991 0 0 0 0 1
5634 1991 0 0 0 0 1
5670 1990 0 0 0 0 1
5705 1991 0 0 0 0 1
5709 1992 1 0 0 1 0
5709 1993 0 1 0 1 0
5709 1994 0 0 1 0 0
5711 1991 0 0 0 0 1
5715 1991 0 0 0 0 1
5728 1991 0 0 0 0 1
5728 1992 1 0 0 1 0
5728 1993 0 1 0 1 0
5728 1994 0 0 1 0 0
5751 1991 0 0 0 0 1
5758 1991 0 0 0 0 1
5760 1991 0 0 0 0 1
5766 1991 0 0 0 0 1
5766 1992 1 0 0 1 0
5766 1993 0 1 0 1 0
5766 1994 0 0 1 0 0
5767 1992 1 0 0 1 0
5767 1993 0 1 0 1 0
5767 1994 0 0 1 0 0
5772 1992 1 0 0 1 0
5772 1993 0 1 0 1 0
5772 1994 0 0 1 0 0
5777 1991 0 0 0 0 1
5777 1992 1 0 0 1 0
5777 1993 0 1 0 1 0
5777 1994 0 0 1 0 0
5801 1991 0 0 0 0 1
5824 1990 0 0 0 0 1
5924 1991 0 0 0 0 1
5946 1990 0 0 0 0 1
6074 1991 0 0 0 0 1
6319 1997 0 0 0 0 1
7545 1997 0 0 0 0 1
9227 1998 1 0 0 1 0
9227 1999 0 1 0 1 0
9227 2000 0 0 1 0 0
10143 1996 0 0 0 0 1
11049 1997 0 0 0 0 1
12174 1996 0 0 0 0 1
